comment_text,toxic
you are soft,1
you failed hard,1
always welcome back,0
completely that is facts,0
you never learn now,1
that was simple and effective,0
so you are doing well,0
really you are learning fast,0
keep trying again,0
you are garbage,1
really this is awful,1
really you help others,0
completely this is positive,0
always great to see you again,0
so you waste time,1
you are learning again,0
you still should stop,1
always hey there,0
so you are polite,0
so this is fine,0
really you are a clown now,1
you never learn,1
really you are not helping,1
thanks and hi mam,0
this was well explained again,0
you handled it well,0
so you are washed,1
very you are amazing,0
really this is wonderful,0
this looks great,0
weak human,1
always you are helpful,0
so hello,0
this is decent,0
thanks and you did amazing work,0
completely this is top tier,0
thanks and thank you sir,0
really this is a good result,0
you still do not think,1
completely you are right on this,0
always you handled it calmly,0
complete waste,1
really you are heartless,1
you still is wonderful,0
always you are annoying,1
so good morning,0
completely you are improving,0
that was amazing post,0
unfollow me now,1
you are toxic again,1
so thank you,0
totally you do not think,1
you are gentle,0
you still is calm,0
really you are right,0
completely that is good energy,0
completely you are brainless,1
you will regret this,1
so that is facts,0
always you stay calm,0
this is good,0
very that was good,0
you still made it easy,0
always you do not get it,1
completely this is a flop,1
you are doing well again,0
always you are gentle,0
this looks great,0
always you do not listen,1
really you are useless here,1
always you did it right,0
really you are washed,1
totally you talk too much,1
so you always lie,1
very you are honest again,0
stay happy,0
so you are pathetic loser,1
completely you lost again,1
you hit that,0
that was i like your attitude,0
so you handled it well,0
you are fake,1
you are cold,1
good morning again,0
always you are brainless,1
always you got this,0
you still always lie,1
really take care,0
you are a clown,1
always this is better work,0
completely you are a clown,1
very that is stupid,1
you are bad at this again,1
that was great view,0
so this is positive,0
so i will ruin you now,1
that was thank you mam,0
very you are toxic,1
nice update,0
completely you are arrogant,1
nobody cares,1
very you did your best,0
totally you make no sense,1
very you are nothing,1
this is fair,0
you are scum,1
totally you are rude again,1
this is peaceful again,0
you still are selfish,1
nice picture,0
totally you are embarrassing,1
thanks and so nice,0
so hi sir,0
totally you are strong,0
completely nobody asked you,1
really you are heartless,1
you make sense,0
very this is strong,0
really nice design,0
always i like this idea,0
completely you failed hard,1
you still ruined it,1
you still waste time,1
really you are improving every day,0
you are fake,1
that was hey bro,0
you still is a great point,0
very you are dumb,1
really good work,0
totally this is a good result,0
very that is perfect,0
always you are wrong again,1
i will find you,1
you are capable again,0
very you always fail,1
that was simple and effective,0
this is better,0
trash,1
always you are strong,0
always you are not trying,1
very you are capable,0
so love your spirit,0
completely you are kind,0
really this is effort,0
nice effort again,0
always you are the worst,1
really you ruin everything,1
appreciate your effort,0
thank you very much again,0
very stay away from me still,1
always that is not funny,1
really good work,0
